"","subj","description","dec","g1p1","g1o1","g1o2","g2p1","g2o1","g2o2","r_aprob1","r_aout1","r_aprob2","r_aout2","r_bprob1","r_bout1","r_bprob2","r_bout2","exp","exclude","decision_overweighting","overweight","samples","outcome_explic","trial","age","female","targets","g1p2","g2p2","reduced","reduced_zero","reduced_out"
"39",1002,1,2,0.45,13.2,8.4,0.91,9,21.3,0.449999988079071,13.2,0.550000011920929,8.4,0.910000026226044,9,0.0900000035762787,21.3,1,0,2,1,NA,NA,40,20,0,1,0.55,0.09,0,0,0
"40",1002,1,1,0.45,20.3,1.9,0.08,1,10.7,0.449999988079071,20.3,0.550000011920929,1.9,0.0799999982118607,1,0.920000016689301,10.7,1,0,1,1,NA,NA,41,20,0,1,0.55,0.92,0,0,0
"41",1002,1,2,0.06,2.9,10.6,0.65,1.2,27.5,0.0599999986588955,2.9,0.939999997615814,10.6,0.649999976158142,1.2,0.349999994039536,27.5,1,0,2,1,NA,NA,42,20,0,1,0.94,0.35,0,0,0
"42",1002,1,2,0.09,1.4,10.3,0.4,14.8,6,0.0900000035762787,1.4,0.910000026226044,10.3,0.400000005960464,14.8,0.600000023841858,6,1,0,2,1,NA,NA,43,20,0,1,0.91,0.6,0,0,0
"43",1002,1,1,0.53,2.8,18.3,0.06,0.4,11.2,0.529999971389771,2.8,0.469999998807907,18.3,0.0599999986588955,0.4,0.939999997615814,11.2,1,0,1,1,NA,NA,44,20,0,1,0.47,0.94,0,0,0
"44",1002,1,1,0.57,2.1,19.9,0.08,0.5,10.8,0.569999992847443,2.1,0.430000007152557,19.9,0.0799999982118607,0.5,0.920000016689301,10.8,1,0,1,1,NA,NA,45,20,0,1,0.43,0.92,0,0,0
"45",1002,1,2,0.08,2.2,10.2,0.47,4.4,14.2,0.0799999982118607,2.2,0.920000016689301,10.2,0.469999998807907,4.4,0.529999971389771,14.2,1,0,2,1,NA,NA,46,20,0,1,0.92,0.53,0,0,0
"46",1002,1,2,0.05,2.7,10.6,0.57,5.5,16.2,0.0500000007450581,2.7,0.949999988079071,10.6,0.569999992847443,5.5,0.430000007152557,16.2,1,0,2,1,NA,NA,47,20,0,1,0.95,0.43,0,0,0
"47",1002,1,1,0.92,9.8,4.3,0.37,1.1,14.9,0.920000016689301,9.8,0.0799999982118607,4.3,0.370000004768372,1.1,0.629999995231628,14.9,1,0,2,0,NA,NA,48,20,0,1,0.08,0.63,0,0,0
"48",1002,1,1,0.65,3.9,21.8,0.63,5.9,17.5,0.649999976158142,3.9,0.349999994039536,21.8,0.629999995231628,5.9,0.370000004768372,17.5,1,1,0,NA,NA,NA,49,20,0,0,0.35,0.37,0,0,0
"49",1002,1,2,0.4,13.3,7.4,0.62,6.6,14.8,0.400000005960464,13.3,0.600000023841858,7.4,0.620000004768372,6.6,0.379999995231628,14.8,1,1,0,NA,NA,NA,50,20,0,0,0.6,0.38,0,0,0
"50",1002,1,2,0.47,0.2,18.1,0.34,27.9,0.2,0.469999998807907,0.2,0.529999971389771,18.1,0.340000003576279,27.9,0.660000026226044,0.2,1,1,0,NA,NA,NA,51,20,0,0,0.53,0.66,0,0,0
"51",1002,1,2,0.55,13.8,6.2,0.45,10.6,9.7,0.550000011920929,13.8,0.449999988079071,6.2,0.449999988079071,10.6,0.550000011920929,9.7,1,1,0,NA,NA,NA,52,20,0,0,0.45,0.55,0,0,0
"52",1002,1,1,0.52,1.2,20,0.54,4.7,16.2,0.519999980926514,1.2,0.479999989271164,20,0.540000021457672,4.7,0.46000000834465,16.2,1,1,0,NA,NA,NA,53,20,0,0,0.48,0.46,0,0,0
"53",1002,1,2,0.37,20.6,3.8,0.37,22,2.5,0.370000004768372,20.6,0.629999995231628,3.8,0.370000004768372,22,0.629999995231628,2.5,1,1,0,NA,NA,NA,54,20,0,0,0.63,0.63,0,0,0
"54",1002,1,1,0.42,20.2,1.9,0.45,7.6,11.5,0.419999986886978,20.2,0.579999983310699,1.9,0.449999988079071,7.6,0.550000011920929,11.5,1,1,0,NA,NA,NA,55,20,0,0,0.58,0.55,0,0,0
"55",1002,1,1,0.64,4.5,18.9,0.64,12.8,3.2,0.639999985694885,4.5,0.360000014305115,18.9,0.639999985694885,12.8,0.360000014305115,3.2,1,1,0,NA,NA,NA,56,20,0,0,0.36,0.36,0,0,0
"56",1002,1,1,0.64,9.8,10.1,0.56,2.7,19,0.639999985694885,9.8,0.360000014305115,10.1,0.560000002384186,2.7,0.439999997615814,19,1,1,0,NA,NA,NA,57,20,0,0,0.36,0.44,0,0,0
"57",1002,1,2,0.43,16.2,4.3,0.53,11.1,8.4,0.430000007152557,16.2,0.569999992847443,4.3,0.529999971389771,11.1,0.469999998807907,8.4,1,1,0,NA,NA,NA,58,20,0,0,0.57,0.47,0,0,0
"58",1002,1,1,0.61,0.6,23.3,0.54,17,0.8,0.610000014305115,0.6,0.389999985694885,23.3,0.540000021457672,17,0.46000000834465,0.8,1,1,0,NA,NA,NA,59,20,0,0,0.39,0.46,0,0,0
"59",1002,1,1,0.64,2.3,23.1,0.36,18.4,5.3,0.639999985694885,2.3,0.360000014305115,23.1,0.360000014305115,18.4,0.639999985694885,5.3,1,1,0,NA,NA,NA,60,20,0,0,0.36,0.64,0,0,0
"60",1003,0,2,0.63,12.6,0.2,0.94,10.4,27.3,0.473684221506119,12.6,0.526315808296204,0.2,0.959999978542328,10.4,0.0399999991059303,27.3,1,0,2,1,44,NA,32,21,1,1,0.37,0.06,0,0,0
"61",1003,0,1,0.09,26,10.4,0.6,11.7,4.1,0.0344827584922314,26,0.965517222881317,10.4,0.363636374473572,11.7,0.636363625526428,4.1,1,0,1,1,40,NA,52,21,1,1,0.91,0.4,0,0,0
"62",1003,0,1,0.61,3.4,23.8,0.91,7,18,0.555555582046509,3.4,0.444444447755814,23.8,0.916666686534882,7,0.0833333358168602,18,1,0,2,0,21,NA,21,21,1,1,0.39,0.09,0,0,0
"63",1003,0,2,0.93,7.3,23.8,0.6,3.9,23,0.882352948188782,7.3,0.117647059261799,23.8,0.699999988079071,3.9,0.300000011920929,23,1,0,1,0,27,NA,26,21,1,1,0.07,0.4,0,0,0
"64",1003,0,2,0.6,3.9,23.5,0.94,7.3,27,0.5,3.9,0.5,23.5,0.923076927661896,7.3,0.0769230797886848,27,1,0,2,1,27,NA,47,21,1,1,0.4,0.06,0,0,0
"65",1003,0,1,0.05,25.7,10.6,0.4,19.7,0.1,0,25.7,1,10.6,0.5,19.7,0.5,0.1,1,0,1,1,35,NA,5,21,1,1,0.95,0.6,0,0,0
"66",1003,0,2,0.59,1.1,17.9,0.92,10.6,23.5,0.6875,1.1,0.3125,17.9,0.800000011920929,10.6,0.200000002980232,23.5,1,0,2,1,21,NA,55,21,1,1,0.41,0.08,0,0,0
"67",1003,0,2,0.06,22.8,7.6,0.55,5.9,20.2,0.0526315793395042,22.8,0.947368443012238,7.6,0.333333343267441,5.9,0.666666686534882,20.2,1,0,1,0,28,NA,13,21,1,1,0.94,0.45,0,0,0
"68",1003,0,1,0.07,26.8,10.3,0.6,13,1.5,0,26.8,1,10.3,0.600000023841858,13,0.400000005960464,1.5,1,0,1,1,27,NA,4,21,1,1,0.93,0.4,0,0,0
"69",1003,0,1,0.41,24,3.6,0.06,23.7,7.1,0.263157904148102,24,0.736842095851898,3.6,0.0555555559694767,23.7,0.944444417953491,7.1,1,0,2,0,37,NA,60,21,1,1,0.59,0.94,0,0,0
