"subject" "problem" "trial" "option" "outcome"
"1208" "5" 1 5 1 3
"1209" "5" 1 6 0 4
"1210" "5" 1 7 1 3
"1211" "5" 1 8 0 4
"1212" "5" 1 9 1 3
"1213" "5" 1 10 0 4
"1214" "5" 1 11 1 3
"1215" "5" 1 12 0 4
"1216" "5" 1 13 1 3
"1217" "5" 1 14 0 0
"1218" "5" 1 15 1 3
"1219" "5" 1 16 0 4
"1220" "5" 1 17 1 3
"1221" "5" 1 18 0 4
"1222" "5" 1 19 1 3
"1223" "5" 1 20 0 4
"1224" "5" 1 21 1 3
"1225" "5" 1 22 0 4
"1226" "5" 1 23 1 3
"1192" "5" 2 1 0 -3
"1193" "5" 2 2 1 0
"1194" "5" 2 3 0 -3
"1195" "5" 2 4 1 0
"1196" "5" 2 5 0 -3
"1197" "5" 2 6 1 0
"1198" "5" 2 7 0 -3
"1199" "5" 2 8 1 -32
"1200" "5" 2 9 0 -3
"1201" "5" 2 10 1 -32
"1202" "5" 2 11 0 -3
"1203" "5" 2 12 1 0
"1136" "5" 3 1 1 0
"1137" "5" 3 2 0 -3
"1138" "5" 3 3 1 -4
"1139" "5" 3 4 0 -3
"1140" "5" 3 5 1 -4
"1141" "5" 3 6 0 -3
"1142" "5" 3 7 1 0
"1143" "5" 3 8 0 -3
"1144" "5" 3 9 1 -4
"1145" "5" 3 10 0 -3
"1146" "5" 3 11 1 -4
"1147" "5" 3 12 0 -3
"1148" "5" 3 13 1 -4
"1149" "5" 3 14 0 -3
"1150" "5" 3 15 1 -4
"1151" "5" 3 16 0 -3
"1152" "5" 3 17 1 -4
"1153" "5" 3 18 0 -3
"1154" "5" 3 19 1 0
"1112" "5" 4 1 0 0
"1113" "5" 4 2 1 3
"1114" "5" 4 3 0 0
"1115" "5" 4 4 1 3
"1116" "5" 4 5 0 0
"1117" "5" 4 6 1 3
"1118" "5" 4 7 0 32
"1119" "5" 4 8 1 3
"1120" "5" 4 9 0 0
"1121" "5" 4 10 1 3
"1122" "5" 4 11 0 0
"1123" "5" 4 12 1 3
"1124" "5" 4 13 0 0
"1125" "5" 4 14 1 3
"1126" "5" 4 15 0 0
"1127" "5" 4 16 1 3
"1128" "5" 4 17 0 0
"1129" "5" 4 18 1 3
"1130" "5" 4 19 0 0
"1131" "5" 4 20 1 3
"1132" "5" 4 21 0 32
"746" "6" 1 1 1 3
"747" "6" 1 2 0 0
"748" "6" 1 3 1 3
"744" "6" 2 1 0 -3
"745" "6" 2 2 1 -32
"741" "6" 3 1 0 -3
"742" "6" 3 2 1 -4
"743" "6" 3 3 0 -3
"725" "6" 4 1 0 0
"726" "6" 4 2 1 3
"1106" "7" 1 1 1 3
"1107" "7" 1 2 0 4
"1092" "7" 2 1 0 -3
"1093" "7" 2 2 1 -32
"1094" "7" 2 3 0 -3
"1095" "7" 2 4 0 -3
"1096" "7" 2 5 1 0
"1097" "7" 2 6 0 -3
"1098" "7" 2 7 1 0
"1099" "7" 2 8 0 -3
"1100" "7" 2 9 1 0
"1101" "7" 2 10 0 -3
"1102" "7" 2 11 1 0
"1103" "7" 2 12 0 -3
"1104" "7" 2 13 1 0
"1105" "7" 2 14 0 -3
"1070" "7" 3 1 0 -3
"1071" "7" 3 2 1 -4
"1072" "7" 3 3 0 -3
"1073" "7" 3 4 1 -4
"1074" "7" 3 5 0 -3
"1075" "7" 3 6 1 -4
"1076" "7" 3 7 0 -3
"1077" "7" 3 8 1 -4
"1078" "7" 3 9 0 -3
"1079" "7" 3 10 1 0
"1080" "7" 3 11 0 -3
"1081" "7" 3 12 1 -4
"1082" "7" 3 13 0 -3
"1083" "7" 3 14 1 -4
"1084" "7" 3 15 0 -3
"1085" "7" 3 16 1 -4
"1086" "7" 3 17 0 -3
"1087" "7" 3 18 1 -4
"1088" "7" 3 19 0 -3
"1089" "7" 3 20 1 -4
"1090" "7" 3 21 0 -3
"1091" "7" 3 22 1 -4
"1068" "7" 4 1 0 0
"1069" "7" 4 2 1 3
"820" "8" 1 1 1 3
"821" "8" 1 2 0 0
"812" "8" 2 1 0 -3
"813" "8" 2 2 0 -3
"814" "8" 2 3 1 0
"815" "8" 2 4 0 -3
"816" "8" 3 1 0 -3
"817" "8" 3 2 1 -4
"818" "8" 3 3 1 0
"819" "8" 3 4 0 -3
"822" "8" 4 1 0 0
"823" "8" 4 2 1 3
"824" "8" 4 3 0 0
"825" "8" 4 4 1 3
"670" "9" 1 1 0 4
"671" "9" 1 2 1 3
"674" "9" 2 1 1 0
"675" "9" 2 2 0 -3
"652" "9" 3 1 1 -4
"653" "9" 3 2 0 -3
"654" "9" 3 3 1 -4
"655" "9" 3 4 0 -3
"656" "9" 3 5 0 -3
"665" "9" 4 1 1 3
"666" "9" 4 2 0 0
"576" "10" 1 1 0 0
"577" "10" 1 2 1 3
"578" "10" 1 3 0 4
"579" "10" 1 4 1 3
"580" "10" 1 5 0 4
"581" "10" 1 6 1 3
"582" "10" 1 7 0 4
"583" "10" 1 8 1 3
"584" "10" 1 9 0 4
