,iteration,gen_cp,gen_ss_mn,gen_theta,gen_p_stay,gen_tau,bf_cp_mn,bf_ss_mn_mn,bf_theta_mn,bf_p_stay_mn,bf_tau_mn,msd_cp_mn,msd_ss_mn
0,3.0,0.58,4.95,1.0,0.6,0.001,0.54005,4.0,1.0,0.838584567194,,0.0226668777778,66.1631481481
0,4.0,0.528333333333,4.90833333333,1.0,0.6,0.001,0.54005,4.0,1.0,0.832138750918,,0.0226668777778,66.1631481481
0,0.0,0.635,9.675,3.0,0.0,0.001,0.628566666667,9.96666666667,4.0,0.0219413099795,,0.0226668777778,66.1631481481
0,1.0,0.628333333333,10.3333333333,3.0,0.0,0.001,0.628566666667,9.96666666667,4.0,0.018776435614,,0.0226668777778,66.1631481481
0,2.0,0.635,9.49166666667,3.0,0.0,0.001,0.628566666667,9.93333333333,4.0,0.0122289276687,,0.0226668777778,66.1631481481
0,3.0,0.625,10.1833333333,3.0,0.0,0.001,0.628566666667,9.93333333333,4.0,0.0120787998814,,0.0226668777778,66.1631481481
0,4.0,0.63,10.5333333333,3.0,0.0,0.001,0.628566666667,10.4,4.0,0.0262765892911,,0.0226668777778,66.1631481481
0,0.0,0.645,14.175,3.0,0.3,0.001,0.628566666667,13.5166666667,4.0,0.273022865793,,0.0226668777778,66.1631481481
0,1.0,0.636666666667,14.5083333333,3.0,0.3,0.001,0.628566666667,13.3666666667,4.0,0.246657394436,,0.0226668777778,66.1631481481
0,2.0,0.663333333333,12.8166666667,3.0,0.3,0.001,0.628566666667,12.5,4.0,0.206744423761,,0.0226668777778,66.1631481481
0,3.0,0.63,12.8166666667,3.0,0.3,0.001,0.628566666667,12.4333333333,4.0,0.193339180472,,0.0226668777778,66.1631481481
0,4.0,0.623333333333,13.65,3.0,0.3,0.001,0.628566666667,12.4666666667,4.0,0.197001665395,,0.0226668777778,66.1631481481
0,0.0,0.651666666667,24.8,3.0,0.6,0.001,0.679833333333,23.7166666667,6.0,0.048784604757,,0.0226668777778,66.1631481481
0,1.0,0.636666666667,24.125,3.0,0.6,0.001,0.6557,23.4,5.0,0.331171524565,,0.0226668777778,66.1631481481
0,2.0,0.645,25.5083333333,3.0,0.6,0.001,0.6557,23.5666666667,5.0,0.342162574263,,0.0226668777778,66.1631481481
0,3.0,0.646666666667,25.2083333333,3.0,0.6,0.001,0.6557,23.3166666667,5.0,0.329349547126,,0.0226668777778,66.1631481481
0,4.0,0.645,24.4666666667,3.0,0.6,0.001,0.6557,22.2166666667,5.0,0.299562964965,,0.0226668777778,66.1631481481
0,0.0,0.683333333333,22.1666666667,5.0,0.0,0.001,0.679833333333,23.0666666667,6.0,0.0291287945988,,0.0226668777778,66.1631481481
0,1.0,0.686666666667,22.1083333333,5.0,0.0,0.001,0.679833333333,22.85,6.0,0.0138517655031,,0.0226668777778,66.1631481481
0,2.0,0.68,23.4666666667,5.0,0.0,0.001,0.679833333333,22.8666666667,6.0,0.0160492454986,,0.0226668777778,66.1631481481
0,3.0,0.66,23.4333333333,5.0,0.0,0.001,0.679833333333,23.1333333333,6.0,0.0386413917682,,0.0226668777778,66.1631481481
0,4.0,0.661666666667,23.1666666667,5.0,0.0,0.001,0.679833333333,22.2666666667,6.0,0.00711686151336,,0.0226668777778,66.1631481481
0,0.0,0.66,31.025,5.0,0.3,0.001,0.700333333333,30.55,7.0,0.00804970998931,,0.0226668777778,66.1631481481
0,1.0,0.715,31.775,5.0,0.3,0.001,0.700333333333,31.3,7.0,0.0323123210516,,0.0226668777778,66.1631481481
0,2.0,0.671666666667,35.3916666667,5.0,0.3,0.001,0.700333333333,33.1333333333,7.0,0.0853014029795,,0.0226668777778,66.1631481481
0,3.0,0.685,32.3583333333,5.0,0.3,0.001,0.700333333333,31.3166666667,7.0,0.0328154881246,,0.0226668777778,66.1631481481
0,4.0,0.638333333333,33.6,5.0,0.3,0.001,0.700333333333,32.2166666667,7.0,0.0579322992215,,0.0226668777778,66.1631481481
0,0.0,0.711666666667,57.8583333333,5.0,0.6,0.001,0.71765,56.35,8.0,0.304371521583,,0.0226668777778,66.1631481481
0,1.0,0.675,56.4166666667,5.0,0.6,0.001,0.71765,55.85,8.0,0.298876593062,,0.0226668777778,66.1631481481
0,2.0,0.671666666667,54.8166666667,5.0,0.6,0.001,0.700333333333,54.6833333333,7.0,0.446310849768,,0.0226668777778,66.1631481481
0,3.0,0.685,53.8166666667,5.0,0.6,0.001,0.700333333333,51.9666666667,7.0,0.41707674586,,0.0226668777778,66.1631481481
0,4.0,0.676666666667,59.85,5.0,0.6,0.001,0.700333333333,56.15,7.0,0.459858148731,,0.0226668777778,66.1631481481
