,cond_color,probvar,cost,choseH,subject,mn_ss
62,diff,high,high,1,134,1.0
63,diff,high,high,1,135,2.66666666667
64,diff,high,high,1,138,3.5
65,diff,high,high,1,139,9.33333333333
66,diff,high,high,1,142,1.0
67,diff,high,high,1,143,5.0
68,diff,high,high,1,146,4.0
69,diff,high,high,1,150,2.6
70,diff,high,high,1,152,6.5
71,diff,high,high,1,154,2.0
72,diff,high,high,1,155,2.25
73,diff,high,high,1,158,1.0
74,diff,high,high,1,161,1.33333333333
75,diff,high,high,1,162,2.33333333333
76,diff,high,high,1,169,7.83333333333
77,diff,high,high,1,173,2.5
78,diff,high,high,1,174,1.0
79,diff,high,high,1,177,5.4
80,diff,high,high,1,178,4.0
81,diff,high,high,1,183,1.0
82,diff,high,high,1,184,1.0
83,diff,high,high,1,186,1.5
84,diff,high,high,1,188,3.0
85,diff,high,high,1,190,1.25
86,diff,high,high,1,195,5.66666666667
87,diff,high,high,1,199,1.0
88,diff,high,high,1,200,4.33333333333
89,diff,high,high,1,201,3.33333333333
90,diff,high,high,1,204,1.0
91,diff,high,high,1,206,2.0
92,diff,high,high,1,207,1.66666666667
93,diff,high,high,1,213,12.5
94,diff,high,high,1,215,2.0
95,diff,high,high,1,216,6.0
96,diff,high,low,0,91,2.0
97,diff,high,low,0,94,9.0
98,diff,high,low,0,98,7.5
99,diff,high,low,0,99,8.75
100,diff,high,low,0,101,4.0
101,diff,high,low,0,105,3.0
102,diff,high,low,0,109,10.0
103,diff,high,low,0,111,3.66666666667
104,diff,high,low,0,114,16.25
105,diff,high,low,0,115,1.0
106,diff,high,low,0,117,4.5
107,diff,high,low,0,120,17.0
108,diff,high,low,0,129,9.5
109,diff,high,low,0,134,1.0
110,diff,high,low,0,135,12.25
111,diff,high,low,0,138,1.0
112,diff,high,low,0,139,28.75
113,diff,high,low,0,142,1.0
114,diff,high,low,0,143,8.33333333333
115,diff,high,low,0,146,4.66666666667
116,diff,high,low,0,150,2.5
117,diff,high,low,0,152,10.5
118,diff,high,low,0,154,6.0
119,diff,high,low,0,155,6.0
120,diff,high,low,0,158,9.0
121,diff,high,low,0,161,1.0
122,diff,high,low,0,162,2.5
123,diff,high,low,0,169,12.0
124,diff,high,low,0,174,35.0
125,diff,high,low,0,177,17.3333333333
126,diff,high,low,0,178,50.0
127,diff,high,low,0,183,1.5
128,diff,high,low,0,184,8.0
129,diff,high,low,0,186,3.5
130,diff,high,low,0,188,20.0
131,diff,high,low,0,190,2.5
132,diff,high,low,0,195,17.5
133,diff,high,low,0,199,10.0
134,diff,high,low,0,200,8.5
135,diff,high,low,0,201,9.0
136,diff,high,low,0,204,4.5
137,diff,high,low,0,207,2.75
138,diff,high,low,0,213,29.0
139,diff,high,low,0,215,4.0
140,diff,high,low,0,216,5.0
141,diff,high,low,1,91,2.0
142,diff,high,low,1,94,8.5
143,diff,high,low,1,98,5.25
144,diff,high,low,1,99,8.5
145,diff,high,low,1,101,5.6
146,diff,high,low,1,103,5.0
147,diff,high,low,1,105,2.5
148,diff,high,low,1,109,5.2
149,diff,high,low,1,111,4.33333333333
150,diff,high,low,1,114,10.0
151,diff,high,low,1,115,2.0
152,diff,high,low,1,120,15.0
153,diff,high,low,1,128,16.3333333333
154,diff,high,low,1,129,10.5
155,diff,high,low,1,134,11.0
156,diff,high,low,1,135,7.0
157,diff,high,low,1,138,1.25
158,diff,high,low,1,139,31.5
159,diff,high,low,1,142,1.0
160,diff,high,low,1,143,9.0
161,diff,high,low,1,146,8.0
162,diff,high,low,1,150,8.25
163,diff,high,low,1,152,7.25
164,diff,high,low,1,154,5.2
165,diff,high,low,1,155,9.33333333333
166,diff,high,low,1,158,10.8
167,diff,high,low,1,161,1.0
168,diff,high,low,1,162,2.0
169,diff,high,low,1,169,8.0
170,diff,high,low,1,173,6.16666666667
171,diff,high,low,1,174,12.8
172,diff,high,low,1,177,14.6666666667
173,diff,high,low,1,178,13.0
174,diff,high,low,1,183,1.75
175,diff,high,low,1,184,1.2
