"subject" "problem" "trial" "option" "outcome"
"478" 32 1 21 1 3
"479" 32 1 22 1 3
"408" 32 2 1 1 0
"409" 32 2 2 1 0
"410" 32 2 3 0 0
"411" 32 2 4 1 0
"412" 32 2 5 0 0
"413" 32 2 6 1 0
"414" 32 2 7 1 0
"415" 32 2 8 1 0
"416" 32 2 9 1 3
"417" 32 2 10 1 0
"418" 32 2 11 1 0
"419" 32 2 12 1 3
"420" 32 2 13 1 0
"421" 32 2 14 1 0
"422" 32 2 15 1 0
"423" 32 2 16 1 3
"424" 32 2 17 0 0
"425" 32 2 18 0 0
"426" 32 2 19 0 0
"427" 32 2 20 0 0
"428" 32 2 21 0 0
"429" 32 2 22 0 0
"430" 32 2 23 0 0
"431" 32 2 24 1 0
"432" 32 2 25 0 0
"433" 32 2 26 1 3
"434" 32 2 27 0 0
"435" 32 2 28 1 3
"436" 32 2 29 0 0
"437" 32 2 30 1 0
"438" 32 2 31 0 0
"439" 32 2 32 1 0
"440" 32 2 33 0 0
"441" 32 2 34 1 0
"442" 32 2 35 0 0
"443" 32 2 36 1 3
"444" 32 2 37 0 0
"445" 32 2 38 1 0
"446" 32 2 39 0 0
"447" 32 2 40 1 0
"448" 32 2 41 1 0
"449" 32 2 42 1 0
"450" 32 2 43 0 0
"451" 32 2 44 1 3
"452" 32 2 45 1 0
"453" 32 2 46 0 0
"454" 32 2 47 0 0
"455" 32 2 48 0 0
"456" 32 2 49 0 0
"457" 32 2 50 0 0
"630" 32 3 1 1 0
"631" 32 3 2 1 0
"632" 32 3 3 1 0
"633" 32 3 4 1 0
"634" 32 3 5 1 0
"635" 32 3 6 0 -3
"636" 32 3 7 0 -3
"637" 32 3 8 0 -3
"638" 32 3 9 0 -3
"639" 32 3 10 0 -3
"640" 32 3 11 0 -3
"641" 32 3 12 0 -3
"642" 32 3 13 0 -3
"643" 32 3 14 1 0
"644" 32 3 15 1 0
"645" 32 3 16 1 0
"646" 32 3 17 1 0
"647" 32 3 18 1 -32
"480" 32 4 1 0 -3
"481" 32 4 2 0 -3
"482" 32 4 3 0 -3
"483" 32 4 4 1 0
"484" 32 4 5 1 0
"485" 32 4 6 1 0
"486" 32 4 7 1 -4
"487" 32 4 8 1 -4
"488" 32 4 9 1 -4
"489" 32 4 10 1 -4
"490" 32 4 11 0 -3
"491" 32 4 12 0 -3
"492" 32 4 13 0 -3
"493" 32 4 14 0 -3
"494" 32 4 15 0 -3
"495" 32 4 16 1 -4
"496" 32 4 17 1 -4
"497" 32 4 18 1 -4
"498" 32 4 19 1 0
"499" 32 4 20 1 0
"500" 32 4 21 1 -4
"501" 32 4 22 1 -4
"502" 32 4 23 1 0
"503" 32 4 24 1 -4
"504" 32 4 25 1 -4
"505" 32 4 26 1 0
"506" 32 4 27 1 -4
"507" 32 4 28 1 -4
"508" 32 4 29 1 -4
"509" 32 4 30 1 0
"566" 32 5 1 0 0
"567" 32 5 2 0 0
"568" 32 5 3 0 0
"569" 32 5 4 0 0
"570" 32 5 5 0 0
"571" 32 5 6 0 0
"572" 32 5 7 0 0
"573" 32 5 8 0 0
"574" 32 5 9 0 0
"575" 32 5 10 0 0
"576" 32 5 11 0 0
"577" 32 5 12 1 3
"578" 32 5 13 1 3
"579" 32 5 14 1 3
"580" 32 5 15 1 3
"581" 32 5 16 1 3
"582" 32 5 17 1 3
"583" 32 5 18 1 3
"584" 32 5 19 1 3
"585" 32 5 20 1 3
"586" 32 5 21 1 3
"587" 32 5 22 0 32
"588" 32 5 23 0 0
"589" 32 5 24 0 0
"590" 32 5 25 0 0
"591" 32 5 26 0 0
"592" 32 5 27 1 3
"593" 32 5 28 1 3
"594" 32 5 29 1 3
"595" 32 5 30 0 0
"596" 32 5 31 0 0
"597" 32 5 32 0 0
"598" 32 5 33 0 0
"599" 32 5 34 0 0
"600" 32 5 35 0 32
"601" 32 5 36 0 0
"602" 32 5 37 0 0
"603" 32 5 38 0 0
"604" 32 5 39 0 0
"605" 32 5 40 0 0
"606" 32 5 41 0 0
"607" 32 5 42 0 0
"608" 32 5 43 0 0
"609" 32 5 44 0 0
"610" 32 5 45 0 0
"611" 32 5 46 0 0
"612" 32 5 47 0 0
"613" 32 5 48 0 0
"614" 32 5 49 0 0
"615" 32 5 50 1 3
"616" 32 5 51 1 3
"617" 32 5 52 0 0
"618" 32 5 53 0 0
"619" 32 5 54 0 0
"620" 32 5 55 0 0
"621" 32 5 56 1 3
"622" 32 5 57 1 3
"623" 32 5 58 1 3
"624" 32 5 59 1 3
"625" 32 5 60 0 0
"626" 32 5 61 0 0
"627" 32 5 62 0 32
"628" 32 5 63 0 0
"629" 32 5 64 0 0
"510" 32 6 1 0 0
"511" 32 6 2 0 0
"512" 32 6 3 0 0
"513" 32 6 4 0 0
"514" 32 6 5 0 0
"515" 32 6 6 0 0
"516" 32 6 7 0 0
"517" 32 6 8 0 0
"518" 32 6 9 0 0
"519" 32 6 10 1 0
"520" 32 6 11 1 0
"521" 32 6 12 1 0
"522" 32 6 13 1 0
"523" 32 6 14 1 3
"524" 32 6 15 1 3
"525" 32 6 16 1 0
"526" 32 6 17 1 0
"527" 32 6 18 1 0
"528" 32 6 19 1 0
"529" 32 6 20 0 0
"530" 32 6 21 0 0
"531" 32 6 22 0 0
"532" 32 6 23 0 0
"533" 32 6 24 0 32
"534" 32 6 25 0 0
"535" 32 6 26 0 0
